 running    4 mpi-ranks, on    1 nodes
 distrk:  each k-point on    1 cores,    4 groups
 distr:  one band on    1 cores,    1 groups
 OpenACC runtime initialized ...    4 GPUs detected
 vasp.6.4.2 20Jul23 (build Nov 12 2023 22:16:35) complex                         
 POSCAR found type information on POSCAR GaO N Fe
 POSCAR found :  4 types and     120 ions
 scaLAPACK will be used selectively (only on CPU)
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 initial charge from wavefunction
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.122104381993E+05    0.12210E+05   -0.58352E+05 10544   0.705E+03
DAV:   2    -0.309967640582E+05   -0.43207E+05   -0.41766E+05 13488   0.119E+03
DAV:   3    -0.354798781815E+05   -0.44831E+04   -0.40776E+04 14232   0.351E+02
DAV:   4    -0.359785909266E+05   -0.49871E+03   -0.41628E+03 16898   0.101E+02
DAV:   5    -0.360266352852E+05   -0.48044E+02   -0.43666E+02 19304   0.302E+01    0.731E+02
DAV:   6    -0.108233135842E+05    0.25203E+05   -0.19561E+04 14418   0.247E+02    0.593E+02
DAV:   7    -0.445999386983E+04    0.63633E+04   -0.69046E+03 16356   0.164E+02    0.271E+02
DAV:   8    -0.120603089524E+04    0.32540E+04   -0.10931E+04 14368   0.248E+02    0.232E+02
DAV:   9    -0.769933989165E+03    0.43610E+03   -0.14398E+03 15064   0.131E+02    0.170E+02
DAV:  10    -0.791978610955E+03   -0.22045E+02   -0.97483E+02 14744   0.752E+01    0.758E+01
DAV:  11    -0.765035075188E+03    0.26944E+02   -0.37683E+02 13144   0.101E+02    0.128E+02
DAV:  12    -0.735956713442E+03    0.29078E+02   -0.11169E+02 14888   0.271E+01    0.869E+01
DAV:  13    -0.730513605788E+03    0.54431E+01   -0.45082E+01 14304   0.215E+01    0.862E+01
DAV:  14    -0.729223681968E+03    0.12899E+01   -0.73881E+00 14296   0.180E+01    0.722E+01
DAV:  15    -0.721943758959E+03    0.72799E+01   -0.28272E+01 15344   0.151E+01    0.350E+01
DAV:  16    -0.720393803017E+03    0.15500E+01   -0.17250E+01 12792   0.101E+01    0.306E+01
DAV:  17    -0.720139478237E+03    0.25432E+00   -0.22304E+00 14136   0.330E+00    0.276E+01
DAV:  18    -0.720195134885E+03   -0.55657E-01   -0.26135E-01 12192   0.119E+00    0.279E+01
DAV:  19    -0.720193581731E+03    0.15532E-02   -0.48382E-02 14192   0.254E+00    0.279E+01
DAV:  20    -0.720148895105E+03    0.44687E-01   -0.84380E-02 16048   0.267E+00    0.272E+01
DAV:  21    -0.719647619397E+03    0.50128E+00   -0.20351E+00 14640   0.161E+01    0.174E+01
DAV:  22    -0.719221453244E+03    0.42617E+00   -0.16724E+00 14440   0.712E+00    0.110E+01
DAV:  23    -0.718845962480E+03    0.37549E+00   -0.65639E-01 14128   0.451E+00    0.951E+00
DAV:  24    -0.718447830949E+03    0.39813E+00   -0.28204E-01 14696   0.445E+00    0.775E+00
DAV:  25    -0.718196949339E+03    0.25088E+00   -0.26271E-01 15224   0.362E+00    0.685E+00
DAV:  26    -0.718023205758E+03    0.17374E+00   -0.14814E-01 14832   0.306E+00    0.442E+00
DAV:  27    -0.717910078832E+03    0.11313E+00   -0.42121E-01 14896   0.626E+00    0.280E+00
DAV:  28    -0.717948976480E+03   -0.38898E-01   -0.64951E-01 12200   0.137E+00    0.281E+00
DAV:  29    -0.717952837626E+03   -0.38611E-02   -0.51761E-01 15208   0.560E-01    0.290E+00
DAV:  30    -0.717973429270E+03   -0.20592E-01   -0.82749E-01 13800   0.678E-01    0.330E+00
DAV:  31    -0.717987647736E+03   -0.14218E-01   -0.11705E+00 11776   0.641E-01    0.352E+00
DAV:  32    -0.718009276043E+03   -0.21628E-01   -0.15079E+00 11320   0.603E-01    0.393E+00
DAV:  33    -0.718019711717E+03   -0.10436E-01   -0.17593E+00 11520   0.820E-01    0.395E+00
DAV:  34    -0.718018424415E+03    0.12873E-02   -0.16245E+00 11640   0.145E+00    0.378E+00
DAV:  35    -0.718046591192E+03   -0.28167E-01   -0.21570E+00 11744   0.927E-01    0.458E+00
DAV:  36    -0.718026709046E+03    0.19882E-01   -0.17814E+00 11408   0.896E-01    0.333E+00
DAV:  37    -0.718046873695E+03   -0.20165E-01   -0.20437E+00 10896   0.583E-01    0.481E+00
DAV:  38    -0.718028995327E+03    0.17878E-01   -0.18644E+00 10936   0.554E-01    0.330E+00
DAV:  39    -0.718048190182E+03   -0.19195E-01   -0.20452E+00 11344   0.817E-01    0.495E+00
DAV:  40    -0.718031527140E+03    0.16663E-01   -0.19543E+00 10928   0.609E-01    0.327E+00
DAV:  41    -0.718042310778E+03   -0.10784E-01   -0.19941E+00 11272   0.780E-01    0.485E+00
DAV:  42    -0.718029535797E+03    0.12775E-01   -0.20073E+00 11016   0.613E-01    0.333E+00
DAV:  43    -0.718018710411E+03    0.10825E-01   -0.17932E+00 11208   0.750E-01    0.427E+00
DAV:  44    -0.718015448245E+03    0.32622E-02   -0.19564E+00 11352   0.943E-01    0.353E+00
DAV:  45    -0.717992380565E+03    0.23068E-01   -0.16624E+00 12784   0.882E-01    0.347E+00
DAV:  46    -0.717983643698E+03    0.87369E-02   -0.15554E+00 13136   0.173E+00    0.308E+00
DAV:  47    -0.717998701053E+03   -0.15057E-01   -0.17745E+00 12384   0.747E-01    0.384E+00
DAV:  48    -0.717982145000E+03    0.16556E-01   -0.16948E+00 12272   0.101E+00    0.267E+00
DAV:  49    -0.717980305532E+03    0.18395E-02   -0.15084E+00 12184   0.899E-01    0.340E+00
DAV:  50    -0.717966835137E+03    0.13470E-01   -0.13736E+00 11416   0.879E-01    0.236E+00
DAV:  51    -0.717980541510E+03   -0.13706E-01   -0.14575E+00 11520   0.609E-01    0.369E+00
DAV:  52    -0.717964879015E+03    0.15662E-01   -0.13618E+00 11488   0.967E-01    0.209E+00
DAV:  53    -0.717972890339E+03   -0.80113E-02   -0.13091E+00 10928   0.577E-01    0.356E+00
DAV:  54    -0.717959722631E+03    0.13168E-01   -0.12485E+00 11056   0.640E-01    0.198E+00
DAV:  55    -0.717967604554E+03   -0.78819E-02   -0.12111E+00 10784   0.451E-01    0.345E+00
DAV:  56    -0.717955469308E+03    0.12135E-01   -0.11506E+00 11088   0.482E-01    0.188E+00
DAV:  57    -0.717967147567E+03   -0.11678E-01   -0.11875E+00 10936   0.475E-01    0.352E+00
DAV:  58    -0.717954411970E+03    0.12736E-01   -0.11306E+00 10920   0.465E-01    0.174E+00
DAV:  59    -0.717965931096E+03   -0.11519E-01   -0.11511E+00 10832   0.411E-01    0.356E+00
DAV:  60    -0.717952520742E+03    0.13410E-01   -0.10897E+00 12184   0.434E-01    0.160E+00
DAV:  61    -0.717966838380E+03   -0.14318E-01   -0.11413E+00 11912   0.430E-01    0.370E+00
DAV:  62    -0.717951952555E+03    0.14886E-01   -0.10772E+00 11328   0.414E-01    0.144E+00
DAV:  63    -0.717966093649E+03   -0.14141E-01   -0.11059E+00 11288   0.411E-01    0.378E+00
DAV:  64    -0.717951070086E+03    0.15024E-01   -0.10605E+00 11720   0.414E-01    0.133E+00
